ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-07-01,14729.825326325259,-33315.82952007871,26547.37489208677,14729.825326325259,14729.825326325259,-17057.982668030687,-17057.982668030687,-17057.982668030687,-30657.248195754,-30657.248195754,-30657.248195754,-1794.1471434696373,-1794.1471434696373,-1794.1471434696373,15393.41267119295,15393.41267119295,15393.41267119295,0.0,0.0,0.0,-2328.157341705428
2025-07-02,15131.287665625363,-29710.981251053836,31498.574780448816,15131.287665625363,15131.287665625363,-14655.739977315467,-14655.739977315467,-14655.739977315467,-30657.248195754,-30657.248195754,-30657.248195754,920.8536630250898,920.8536630250898,920.8536630250898,15080.654555413446,15080.654555413446,15080.654555413446,0.0,0.0,0.0,475.54768830989633
2025-07-03,15532.750004925469,-31481.83140054903,28781.247513713857,15532.750004925469,15532.750004925469,-17464.365709891274,-17464.365709891274,-17464.365709891274,-30657.248195754,-30657.248195754,-30657.248195754,-1600.4310368680442,-1600.4310368680442,-1600.4310368680442,14793.31352273077,14793.31352273077,14793.31352273077,0.0,0.0,0.0,-1931.615704965805
2025-07-04,15934.212344225572,-24612.772710836558,34979.85306918832,15934.212344225572,15934.212344225572,-9486.918440580177,-9486.918440580177,-9486.918440580177,-30657.248195754,-30657.248195754,-30657.248195754,6641.87813465059,6641.87813465059,6641.87813465059,14528.451620523234,14528.451620523234,14528.451620523234,0.0,0.0,0.0,6447.293903645395
2025-07-05,16335.674683525676,-29881.211755455326,29291.04047609307,16335.674683525676,16335.674683525676,-18278.29055862053,-18278.29055862053,-18278.29055862053,-30657.248195754,-30657.248195754,-30657.248195754,-1903.3792819167177,-1903.3792819167177,-1903.3792819167177,14282.336919050185,14282.336919050185,14282.336919050185,0.0,0.0,0.0,-1942.6158750948543
2025-07-06,16737.13702282578,-31906.951534043896,29556.46732144689,16737.13702282578,16737.13702282578,-18513.37003363126,-18513.37003363126,-18513.37003363126,-30657.248195754,-30657.248195754,-30657.248195754,-1906.6827884418412,-1906.6827884418412,-1906.6827884418412,14050.560950564579,14050.560950564579,14050.560950564579,0.0,0.0,0.0,-1776.2330108054812
2025-07-07,17138.599362125886,-29960.928705203332,32079.733011440603,17138.599362125886,17138.599362125886,-17187.160654628675,-17187.160654628675,-17187.160654628675,-30657.248195754,-30657.248195754,-30657.248195754,-358.0915469768543,-358.0915469768543,-358.0915469768543,13828.17908810218,13828.17908810218,13828.17908810218,0.0,0.0,0.0,-48.561292502789
2025-07-08,17540.06170142599,-30579.379953361407,26060.64875661977,17540.06170142599,17540.06170142599,-18841.52607968676,-18841.52607968676,-18841.52607968676,-30657.248195754,-30657.248195754,-30657.248195754,-1794.14714349286,-1794.14714349286,-1794.14714349286,13609.869259560102,13609.869259560102,13609.869259560102,0.0,0.0,0.0,-1301.4643782607673
2025-07-09,17941.524040726094,-29089.43087229157,28455.550925384636,17941.524040726094,17941.524040726094,-16346.290748815289,-16346.290748815289,-16346.290748815289,-30657.248195754,-30657.248195754,-30657.248195754,920.8536630166828,920.8536630166828,920.8536630166828,13390.103783922032,13390.103783922032,13390.103783922032,0.0,0.0,0.0,1595.2332919108048
2025-07-10,18342.9863490818,-26353.274814212164,29950.954360522675,18342.9863490818,18342.9863490818,-19094.350554095483,-19094.350554095483,-19094.350554095483,-30657.248195754,-30657.248195754,-30657.248195754,-1600.4310368630684,-1600.4310368630684,-1600.4310368630684,13163.328678521584,13163.328678521584,13163.328678521584,0.0,0.0,0.0,-751.3642050136841
